,id,text
248736,1256836208497315840,"E te lo dice uno che vive nella città in cui 4 anni fa hanno giocato i mondiali femminili, finale inclusa, con quasi 60K persone a vederla e biglietti esauriti x tuttto il torneo."
248737,1256836366694002688,In effetti è una città gioiellò di grande valore 
248738,1256836416375533568,#FotografandoUnaCitta Chefchaouen la città blu. mie 
248739,1256836560894464000,"E vero...tu hai avuto qsa ""fortuna"" ogni giorno, nel goderti questa splendita citta in ogni suo particolare,ogni via, ogni monumento...sicuro e stato un periodo della tua vita che ricorderai per sempre. "
248740,1256836630742290432,Potrei suggerire una picture piu'pertinente? Una foto delle file al banco dei pegni di una qualsiasi città italiana!
248741,1256836736224759808,Economia di guerra / 3 - Fase due: incubo sulla città contaminata - Carmilla on line 
248742,1256836803614703616,Come si risolve il problema della scuola in due mesi con le classi da 28-29 soprattutto nelle città se non con i turni?
248743,1256837161300701184,RT://Fase 2: sono pronte le città italiane? Le condizioni per ripartire - 
248744,1256837262458920960,Mica tanto: mi aspetto la stessa cosa in ogni grande città Visto che sono state predisposte solo misure di facciata
248745,1256837489140129792,"Ad Aprile Un raggio forte Brilla solo per alcuni, Luccicando birbante Sulla ringhiera di ferro Della casetta rosa, Sulla Rotonda. Io l'ho visto. Ho pianto. È lì che ho capito che Come te, Mia #Mantova, Non ce n'è. Tra chi dice di essere Città dell'Amore. E chi invece, Amore è. "
248746,1256837555275927552,"Mi piacciono le mattine di primavera-estate. C’è il sole, ma con l’aria fresca. Il silenzio della città, ma i rumori della natura."
248747,1256837896864182272,"#Pd #Luino: ""La trasformazione dell'area stazione sarà un danno irreparabile per la città"". La lunga analisi dopo l'approvazione del #PGT https://bit.ly/2Wz0ZL5"
248748,1256837917349044224,#Cronache Spostamenti in città e Regioni: chi si può andare a trovare e come La lista 
248749,1256837919349919745,"""State attenti al comando..."" Fiorenza... La nostra bellissima città... Per te doppiamente bella e cara"
248750,1256838683015217153,"Perdonami ma questo è l'approccio sbagliato: tu parti dall'idea che in una grande città ci sia solidarietà, senso civico e responsabilità Queste tre cose si disintegrano di fronte al bisogno Alla necessità del distanziamento viene sostituita la necessità di lavorare"
248751,1256838718381608960,"Oggi è quella tipica giornata di primavera, con un sole che illumina il verde degli alberi e le strade della città e con una temperatura abbastanza mite. Oggi è una giornata da andare al parco e giocare a pallone con gli amici o andare al mare e fare una bella passeggiata. "
248752,1256839016269348865,insomma professore ha delineato un quadro in cui manca una voce politica realmente di #sinistra radicale in questo parlamento che rivendichi un #redditodiemergenza per tutti x il solo fatto che siano persone che vivono in un paese... 
248753,1256839808984342529,"COMIC(ON)OFF Spacca (a) Napoli è il terzo appuntamento dedicato al programma di eventi che ogni anno inizia a marzo ed “espande” COMICON in tantissime sedi culturali della città di Napoli con mostre, incontri,… https://www.instagram.com/p/B_t2btYBZDy/?igshid=1f4pgjyw9acza"
248754,1256839940140400641,"#buongiorno #foto #campagna Passeggio canide. Incontri. Spero tutto bene genti di città. Quando vado in campagna e vedo il sole e il verde e la fioritura di ogni cosa, mi dico “Sì, tutto questo appartiene a me!” (Henri Rousseau) "
248755,1256840221779517440,ma che carine raga aiuto kun tutto emotional che erano della sua città aiutooo
248756,1256840521273602054,"Un ragazzo si tuffa nel fiume che attraversa la città. Merano, 2 Maggio 2020 #merano #laboratoriofotografico #nikolaosgea #cvvisualdiary #contrasto #natgeo #covid_19 #italylockdown #portrait #streetportrait… https://www.instagram.com/p/B_t2whKnkBT/?igshid=i5p9dliwicl3"
248757,1256840775255691270,"Io l’ho guardato solo per la mia amata città, ma è davvero registrato da schifo"
